user_id,artist,play_count,gender,age
1,BTS,41,Male,65-70
1,Justin Bieber,2,Male,65-70
1,Adele,10,Male,65-70
1,Ariana Grande,1,Male,65-70
1,Ed Sheeran,1,Male,65-70
1,The Weeknd,6,Male,65-70
1,Bad Bunny,11,Male,65-70
1,Dua Lipa,6,Male,65-70
1,Post Malone,4,Male,65-70
1,Eminem,5,Male,65-70
1,Doja Cat,29,Male,65-70
2,Bad Bunny,5,Female,35-39
2,Eminem,1,Female,35-39
2,Harry Styles,7,Female,35-39
2,The Weeknd,5,Female,35-39
2,Ariana Grande,12,Female,35-39
2,The Beatles,22,Female,35-39
2,Drake,12,Female,35-39
2,Dua Lipa,20,Female,35-39
2,BTS,10,Female,35-39
3,Ariana Grande,30,Male,25-29
3,The Weeknd,24,Male,25-29
3,Justin Bieber,9,Male,25-29
3,Billie Eilish,16,Male,25-29
3,Drake,3,Male,25-29
3,Olivia Rodrigo,8,Male,25-29
3,Bad Bunny,2,Male,25-29
3,Kendrick Lamar,7,Male,25-29
3,BTS,8,Male,25-29
3,Ed Sheeran,41,Male,25-29
3,Doja Cat,5,Male,25-29
3,Eminem,8,Male,25-29
3,Queen,9,Male,25-29
3,Harry Styles,4,Male,25-29
4,Dua Lipa,24,Male,65-70
4,Queen,15,Male,65-70
4,Taylor Swift,20,Male,65-70
4,Ed Sheeran,3,Male,65-70
4,The Weeknd,1,Male,65-70
4,Eminem,33,Male,65-70
4,Justin Bieber,5,Male,65-70
5,The Beatles,5,Female,30-34
5,Taylor Swift,9,Female,30-34
5,Queen,2,Female,30-34
5,Ariana Grande,5,Female,30-34
5,Adele,3,Female,30-34
5,Doja Cat,1,Female,30-34
5,Olivia Rodrigo,19,Female,30-34
5,Kendrick Lamar,4,Female,30-34
6,Queen,3,Male,25-29
6,Drake,12,Male,25-29
6,Adele,15,Male,25-29
6,Bruno Mars,14,Male,25-29
6,The Weeknd,23,Male,25-29
6,Doja Cat,8,Male,25-29
6,Ed Sheeran,2,Male,25-29
6,BTS,11,Male,25-29
7,Dua Lipa,3,Male,20-24
7,Ed Sheeran,2,Male,20-24
7,Kendrick Lamar,5,Male,20-24
7,Eminem,27,Male,20-24
7,Drake,9,Male,20-24
7,Bad Bunny,12,Male,20-24
7,Olivia Rodrigo,10,Male,20-24
7,Post Malone,3,Male,20-24
7,Bruno Mars,3,Male,20-24
7,Ariana Grande,10,Male,20-24
7,Harry Styles,16,Male,20-24
7,Taylor Swift,22,Male,20-24
7,The Beatles,3,Male,20-24
7,Billie Eilish,11,Male,20-24
7,BTS,24,Male,20-24
8,Ariana Grande,3,Female,40-44
8,Billie Eilish,4,Female,40-44
8,Doja Cat,15,Female,40-44
8,Olivia Rodrigo,5,Female,40-44
8,Ed Sheeran,41,Female,40-44
8,The Beatles,4,Female,40-44
9,BTS,5,Male,35-39
9,Adele,5,Male,35-39
9,Kendrick Lamar,5,Male,35-39
9,Ed Sheeran,8,Male,35-39
9,Doja Cat,91,Male,35-39
9,Bad Bunny,5,Male,35-39
9,The Beatles,5,Male,35-39
9,Bruno Mars,7,Male,35-39
9,Taylor Swift,21,Male,35-39
9,Justin Bieber,1,Male,35-39
9,Dua Lipa,11,Male,35-39
9,Drake,3,Male,35-39
10,Post Malone,8,Female,60-64
10,Harry Styles,13,Female,60-64
10,Kendrick Lamar,47,Female,60-64
10,Billie Eilish,2,Female,60-64
10,Justin Bieber,5,Female,60-64
